"Year","Quarter","Month","Group","Unit","Population","Deflator","Total Disposable Income (nominal $)","Total Factor Income (nominal $)","Total Posttax Income (nominal $)","Total Pretax Income (nominal $)","Disposable Income Per Unit (nominal $)","Factor Income Per Unit (nominal $)","Posttax Income Per Unit (nominal $)","Pretax Income Per Unit (nominal $)","Disposable Income Share","Factor Income Share","Posttax Income Share","Pretax Income Share"
"1977","1","3","Top 1%","Adults","1459058.15063853","0.26981071","103383896963.5664","178667706565.9033","128378027656.7876","178793525474.1493","70856.5980857736","122454.136929164","87986.9164917144","122540.3698926623","0.0769768658","0.1035864601","0.0744299327","0.1036594059"
"1977","2","4","Top 1%","Adults","1461684.0760310816","0.27117869","107017736420.4208","182457730728.8593","132438460131.7534","182744871606.73","73215.3672433831","124827.0633311459","90606.7612718093","125023.5085702911","0.0786545076","0.1043782425","0.0757638137","0.1045425064"
"1977","2","5","Top 1%","Adults","1464261.6062610801","0.27223298","109868292871.7624","185407508342.4169","135781364863.4167","185806300710.7263","75033.2402365624","126621.8464990323","92730.2636925158","126894.1969906413","0.0798578006","0.1047428074","0.0767073645","0.1049680984"
"1977","2","6","Top 1%","Adults","1466791.191890261","0.27330625","112864684396.2485","188289044631.2921","139001862161.2001","188824389878.8277","76946.6608609773","128367.9951668125","94765.9509613415","128732.9723022735","0.0810573917","0.1051688534","0.0776394954","0.1054678704"
"1977","3","7","Top 1%","Adults","1469261.449028724","0.27415538","116416845742.8264","191762990935.8387","142605188510.9011","192105479385.5005","79234.942031444","130516.5878153315","97059.0963270507","130749.6902695531","0.082286477","0.1058437882","0.0787110865","0.1060328253"
"1977","3","8","Top 1%","Adults","1471649.475927881","0.2754336","117715539338.5185","193433526784.0423","143913616373.1639","193778249546.1685","79988.8433108695","131439.9454136874","97790.6891057912","131674.1878523692","0.0825474118","0.1060754063","0.078919593","0.1062644455"
"1977","3","9","Top 1%","Adults","1474018.0835867883","0.27705738","118329697626.6285","194783783211.4204","144981389601.009","195182563521.35898","80276.9646751497","132144.7717503201","98357.9450044601","132415.3113823497","0.0823297266","0.105882742","0.0788106019","0.1060995157"
"1977","4","10","Top 1%","Adults","1476476.9274356398","0.2795248","119442881614.9548","196473921636.3377","146487656029.3721","196844519900.1153","80897.2218904934","133069.4154344664","99214.3211365946","133320.4171649312","0.0822946571","0.1057018797","0.0788095466","0.1059012592"
"1977","4","11","Top 1%","Adults","1478979.5541246268","0.28177005","121169957893.6366","198303828531.4084","148291574701.7424","198589205989.8085","81928.0818018842","134081.521261313","100266.1424819444","134274.476909418","0.0826879918","0.1058616398","0.0791633199","0.1060139846"
"1977","4","12","Top 1%","Adults","1481491.056542373","0.28321278","122827200712.146","199466913942.2868","150055385198.8169","199775175234.88602","82907.8246336568","134639.2967149051","101286.7303762391","134847.3717425861","0.0832887765","0.1058714413","0.0796451879","0.1060350582"
"1978","1","1","Top 1%","Adults","1484043.2921013392","0.28440222","121956458246.7872","197440323812.3685","149299853383.1712","198096694388.8968","82178.5044249634","133042.1591224619","100603.4353430278","133484.4444520218","0.0826184067","0.1046660939","0.0791461039","0.1050140459"
"1978","1","2","Top 1%","Adults","1486640.53","0.28537574","123353513074.7104","198760179959.1854","151055145435.7044","199540040803.5287","82974.6738269744","133697.5388120122","101608.3864171956","134222.118109163","0.08270927","0.1042453332","0.0792250942","0.1046543529"
"1978","1","3","Top 1%","Adults","1489322.4802528808","0.28702319","125941908647.1294","202450393001.8319","154155044127.2901","203335405875.0159","84563.2227519623","135934.5579524568","103506.8268768193","136528.7965306818","0.0830163566","0.1044190064","0.0795094352","0.1048754746"
"1978","2","4","Top 1%","Adults","1492002.285237297","0.28914073","129255473357.2335","208540200553.1675","158618683676.3683","209603182308.7257","86632.2221059306","139772.0382981853","106312.6278329665","140484.4914667065","0.0837131149","0.1052599136","0.0800622086","0.1057964494"
